CODIGOVIA,TPD_AUTOS,TPD_BUSES,TPD_C2,TPD_C3__C4,TPD_C5,TPD_MAS_C5,CLASE_DE_R,START_X,START_Y,END_X,END_Y,COSTO_AUTOS,COSTO_BUSES,COSTO_C2,COSTO_C3__C4,COSTO_C5,COSTO_MAS_C5,TPD_Global,FID,CLASE_DE_R,COD_AFORO
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.620869,0.822274,-77.616573,0.817784,533.4,1433.24,1151.97,1967.77,3206.03,3343.86,665000,48,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.638124,0.819466,-77.657274,0.818857,1794.14,4820.8,3874.73,6618.71,10783.67,11247.28,665000,49,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.657274,0.818857,-77.641804,0.827503,1587.98,4266.87,3429.51,5858.18,9544.57,9954.91,665000,50,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.622141,0.821763,-77.641804,0.827503,1866.84,5016.16,4031.75,6886.92,11220.66,11703.06,665000,51,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.607938,0.827922,-77.620869,0.822274,1218.89,3275.13,2632.39,4496.58,7326.14,7641.11,665000,52,Vía Municipal,0
25NRC,7748,690,1076,177,122,399,Primer Orden,-77.607041,0.828487,-77.607938,0.827922,97.06,246.22,193.38,334.85,582.57,608.24,16704,53,Primer Orden,422
2501,7748,690,1076,177,122,399,Primer Orden,-77.607041,0.828487,-77.608833,0.828497,166.95,421.85,332.94,574.72,1018.96,1067.89,16704,54,Primer Orden,422
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.641804,0.827503,-77.642737,0.828651,124.72,335.12,269.36,460.11,749.64,781.87,665000,55,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.641804,0.827503,-77.639106,0.830552,366.63,985.12,791.79,1352.51,2203.61,2298.35,665000,56,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.639106,0.830552,-77.608833,0.828497,2537.83,6819.1,5480.87,9362.26,15253.66,15909.44,665000,57,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.642737,0.828651,-77.6411,0.830827,244.55,657.09,528.14,902.15,1469.85,1533.04,665000,58,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.6411,0.830827,-77.639106,0.830552,168.7,453.28,364.33,622.33,1013.94,1057.54,665000,59,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.677876,0.834958,-77.642737,0.828651,3320.46,8921.98,7171.07,12249.41,19957.61,20815.63,665000,60,Vía Municipal,0
3101,200,50,100,50,50,25,Departamental,-76.574602,0.788645,-76.628469,0.835385,8693.87,26605.54,19581.68,33170.97,59842.01,62723.59,1250,61,Departamental,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.677876,0.834958,-77.679864,0.836477,210.09,564.51,453.73,775.04,1262.76,1317.05,665000,62,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.6411,0.830827,-77.634753,0.838962,1081.17,2905.09,2334.97,3988.53,6498.4,6777.78,665000,63,Vía Municipal,0
52356,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.676515,0.842026,-77.677876,0.834958,631.52,1696.89,1363.88,2329.74,3795.78,3958.96,665000,64,Vía Municipal,0
52215,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.514841,0.851181,-77.517974,0.853497,426.92,1244.31,967.51,1629.58,2697.74,2814.88,665000,65,Vía Municipal,0
08NR01,10,6,3,1,1,0,Departamental,-77.679864,0.836477,-77.723296,0.862859,5767.45,16009.83,12240.89,20864.91,37287.47,39079.62,49,66,Departamental,0
52224,50000,30000,30000,30000,30000,30000,Vía Municipal,-77.723296,0.862859,-77.736639,0.862,1364.39,3976.7,3092.06,5207.98,8621.72,8996.1,665000,67,Vía Municipal,0
25NR02,3676,273,151,14,1,6,Primer Orden,-77.634753,0.838962,-77.639483,0.865338,3647.42,9216.36,7273.87,12556.33,22261.81,23330.88,5176,68,Primer Orden,423
25NR12,19,10,4,1,0,0,Departamental,-77.502948,0.876578,-77.514841,0.851181,7551.53,22569.44,16763.84,30333.89,56679.1,59588.99,70,69,Departamental,0
